Name	Lab ID	Label	Species	Haplogroup	Location	Age	Description	Reference
DS-WOL-VAL-037		DS-WOL-VAL-037 | Canis lupus  | Ogorokha River, Siberia, Russia ~40ky	Canis lupus 		Ogorokha River, Siberia, Russia	~40ky		https://doi.org/10.1038/s41586-022-04824-9
SC19.MCJ010		SC19.MCJ010 | Canis lupus  | Quartz Creek, Yukon, Canada ~29.5ky	Canis lupus 		Quartz Creek, Yukon, Canada	~29.5ky		https://doi.org/10.1038/s41586-022-04824-9
KF661088.1		KF661088.1 | Canis lupus | Alaska, USA ~28 ky	Canis lupus 				Wolf	10.1126/science.1243650
SC19.MCJ014		SC19.MCJ014 | Canis lupus  | Independence Creek, Yukon ~29ky	Canis lupus 		Independence Creek, Yukon	~29ky		https://doi.org/10.1038/s41586-022-04824-9
JAL385		JAL385 | Canis lupus  | Smith Gulch, Alaska ~37.5ky	Canis lupus 		Smith Gulch, Alaska	~37.5ky		https://doi.org/10.1038/s41586-022-04824-9
AB499824.1		AB499824.1 | Canis lupus | Japan	Canis lupus 				Wolf	10.1016/j.ympev.2014.08.004
LOW007		LOW007 | Canis lupus  | Tirekhtiakh River, Siberia, Russia ~29ky	Canis lupus 		Tirekhtiakh River, Siberia, Russia	~29ky		https://doi.org/10.1038/s41586-022-04824-9
AL2541		AL2541 | Canis lupus  | Goyet, Belgium ~34ky	Canis lupus 		Goyet, Belgium	~34ky		https://doi.org/10.1038/s41586-022-04824-9
LOW002		LOW002 | Canis lupus  | Letniaya River, Siberia, Russia ~33ky	Canis lupus 		Letniaya River, Siberia, Russia	~33ky		https://doi.org/10.1038/s41586-022-04824-9
CGG27		CGG27 | Canis lupus  | Yana RHS, Siberia, Russia ~33ky	Canis lupus 		Yana RHS, Siberia, Russia	~33ky		https://doi.org/10.1038/s41586-022-04824-9
KF661092.1		KF661092.1 | Canis lupus | Razboinichya cave, Russia ~33.5 ky	Canis lupus 				Wolf	10.1126/science.1243650
AL2370		AL2370 | Canis lupus  | Dürriloch, Switzerland ~9.5ky	Canis lupus 		Dürriloch, Switzerland	~9.5ky		https://doi.org/10.1038/s41586-022-04824-9
CANIS-HMNH-007		CANIS-HMNH-007 | Canis lupus  | Istállóskő Cave, Hungary ~3.5ky	Canis lupus 		Istállóskő Cave, Hungary	~3.5ky		https://doi.org/10.1038/s41586-022-04824-9
KF661048.1		KF661048.1 | Canis lupus | Italy	Canis lupus 				Wolf	10.1126/science.1243650
MK937039.1		MK937039.1 | TU13 | Canis lupus | Kesslerloch, Switzerland ~14.1 ky	Canis lupus 				Wolf	10.1111/mec.15329
KF661095.1		KF661095.1 | Canis lupus | Kesslerloch, Switzerland ~14.5 ky	Canis lupus 				Wolf	10.1126/science.1243650
TU839		TU839 | Canis lupus  | Le Parc du Château, France ~10ky	Canis lupus 		Le Parc du Château, France	~10ky		https://doi.org/10.1038/s41586-022-04824-9
TU840		TU840 | Canis lupus  | Le Parc du Château, France ~10ky	Canis lupus 		Le Parc du Château, France	~10ky		https://doi.org/10.1038/s41586-022-04824-9
IRK		IRK | Canis lupus  | Plunkett Cave, Ireland ~13ky	Canis lupus 		Plunkett Cave, Ireland	~13ky		https://doi.org/10.1038/s41586-022-04824-9
KF661087.1		KF661087.1 | Canis lupus | Kesslerloch, Switzerland ~14.5 ky	Canis lupus 				Wolf	10.1126/science.1243650
367		367 | Canis lupus  | Ballynamintra Cave, Ireland ~13.5ky	Canis lupus 		Ballynamintra Cave, Ireland	~13.5ky		https://doi.org/10.1038/s41586-022-04824-9
WOL-VAL-08		WOL-VAL-08 | Canis lupus  | Badyarikha River, Siberia, Russia ~33.5ky	Canis lupus 		Badyarikha River, Siberia, Russia	~33.5ky		https://doi.org/10.1038/s41586-022-04824-9
LOW006		LOW006 | Canis lupus  | Tirekhtiakh River, Siberia, Russia ~34.5ky	Canis lupus 		Tirekhtiakh River, Siberia, Russia	~34.5ky		https://doi.org/10.1038/s41586-022-04824-9
CGG25		CGG25 | Canis lupus  | Yana RHS, Siberia, Russia ~31.5ky	Canis lupus 		Yana RHS, Siberia, Russia	~31.5ky		https://doi.org/10.1038/s41586-022-04824-9
CLIO-VAL-050		CLIO-VAL-050 | Canis lupus  | Ogorokha River, Siberia, Russia ~36ky	Canis lupus 		Ogorokha River, Siberia, Russia	~36ky		https://doi.org/10.1038/s41586-022-04824-9
CGG26		CGG26 | Canis lupus  | Yana RHS, Siberia, Russia ~31ky	Canis lupus 		Yana RHS, Siberia, Russia	~31ky		https://doi.org/10.1038/s41586-022-04824-9
MK937009.1		MK937009.1 | CGG26 | Canis lupus | Yana site, Russia ~30 ky	Canis lupus 				Wolf	10.1111/mec.15329
DQ480497.1		DQ480497.1 | Canis lupus familiaris (A)	Canis lupus familiaris	Clade A			Dog	10.1101/gr.5117706
KF661084.1		KF661084.1 | Canis lupus familiaris (A) | Cerro Lutz, Argentinia ~1 ky	Canis lupus familiaris	Clade A			Dog	10.1126/science.1243650
KF661083.1		KF661083.1 | Canis lupus familiaris (A) | Koster site, Illinois, USA ~8.5 ky	Canis lupus familiaris	Clade A			Dog	10.1126/science.1243650
KF661086.1		KF661086.1 | Canis lupus familiaris (A) | Florida, USA ~1 ky	Canis lupus familiaris	Clade A			Dog	10.1126/science.1243650
AL3284		AL3284 | Canis lupus  | Shaitanskaya Cave, Russia ~21ky	Canis lupus 		Shaitanskaya Cave, Russia	~21ky		https://doi.org/10.1038/s41586-022-04824-9
IN18-005		IN18-005 | Canis lupus  | Belaya Gora, Siberia, Russia ~18ky	Canis lupus 		Belaya Gora, Siberia, Russia	~18ky		https://doi.org/10.1038/s41586-022-04824-9
JK2181		JK2181 | Canis lupus  | Hohle Fels, Germany ~15ky	Canis lupus 		Hohle Fels, Germany	~15ky		https://doi.org/10.1038/s41586-022-04824-9
