Name	LabID	Label	Species	Subspecies	Haplogroup	Description	Age	Location	Reference
NC_020614.1		NC_020614.1 | Boselaphus tragocamelus	Boselaphus tragocamelus			Boselaphini			
NC_020788.1		NC_020788.1 | Tetracerus quadricornis	Tetracerus quadricornis			Boselaphini			
NC_020748.1	MBP15	NC_020748.1 | MBP15 | Tragelaphus angasii	Tragelaphus angasii						
NC_038064.1		NC_038064.1 | Tragelaphus buxtoni	Tragelaphus buxtoni						
NC_020749.1	SUN8	NC_020749.1 | SUN8 | Tragelaphus eurycerus	Tragelaphus eurycerus						
NC_020619.1		NC_020619.1 | Tragelaphus imberbis	Tragelaphus imberbis						
NC_020750.1	PHC13	NC_020750.1 | PHC13 | Tragelaphus oryx	Tragelaphus oryx						
NC_020751.1		NC_020751.1 | Tragelaphus scriptus	Tragelaphus scriptus						
NC_020620.1		NC_020620.1 | Tragelaphus spekii	Tragelaphus spekii						
NC_020752.1	PHC11	NC_020752.1 | PHC11 | Tragelaphus strepsiceros	Tragelaphus strepsiceros						
NC_020616.1		NC_020616.1 | Pseudoryx nghetinhensis	Pseudoryx nghetinhensis						
NC_020617.1		NC_020617.1 | Syncerus caffer	Syncerus caffer						
NC_057438.1		NC_057438.1 | Bubalus arnee	Bubalus arnee						
NC_049568.1		NC_049568.1 | Bubalus bubalis	Bubalus bubalis						
NC_006295.1		NC_006295.1 | Bubalus carabanensis	Bubalus carabanensis						
NC_020615.1		NC_020615.1 | Bubalus depressicornis	Bubalus depressicornis						
NC_060307.1		NC_060307.1 | Bubalus quarlesi	Bubalus quarlesi						
KX898012.1	Kud133	KX898012.1 | Kud133 | Bison bonasus (Bb2) | Kudaro, Georgia, ~22ky	Bison bonasus		Bb2	Wisent	~22ky	Kudaro, Georgia	10.1186/s12915-016-0317-7
KX898008.1	GRAL76	KX898008.1 | GRAL76 | Bison bonasus (Bb2) | Igue-du-Gral, France, ~12ky	Bison bonasus		Bb2	Wisent	~12ky	Igue-du-Gral, France	10.1186/s12915-016-0317-7
KX898009.1	GRAL125	KX898009.1 | GRAL125 | Bison bonasus (Bb2) | Igue-du-Gral, France	Bison bonasus		Bb2	Wisent		Igue-du-Gral, France	10.1186/s12915-016-0317-7
KX898013.1	Kud136	KX898013.1 | Kud136 | Bison bonasus (Bb2) | Kudaro, Georgia, ~38ky	Bison bonasus		Bb2	Wisent	~38ky	Kudaro, Georgia	10.1186/s12915-016-0317-7
KX592175.1	A4093	KX592175.1 | A4093 | Bison bonasus (Bb2) | Mezmaiskaya Cave, Russia, >56ky	Bison bonasus		Bb2	Wisent	>56ky	Mezmaiskaya Cave, Russia	10.1038/s41598-020-78040-8
KX898017.1	Mez130	KX898017.1 | Mez130 | Bison bonasus (Bb2) | Mezmaiskaya Cave, Russia, ~48ky	Bison bonasus		Bb2	Wisent	~48ky	Mezmaiskaya Cave, Russia	10.1186/s12915-016-0317-7
MT576706.1		MT576706.1 | Bos taurus (Clade T) | China, ~4ky	Bos taurus		Clade T		~4ky	China	10.1038/s41437-021-00428-7
NC_006853.1		NC_006853.1 | Bos taurus (Clade T)	Bos taurus		Clade T				
NC_012706.1		NC_012706.1 | Bos taurus (Clade T)	Bos taurus	javanicus	Clade T				
MT576801.1	SRR934397	MT576801.1 | SRR934397 | Bos taurus (Clade T) | Korea	Bos taurus		Clade T			Korea	10.1038/s41437-021-00428-7
MZ901742.1	SKB_14	MZ901742.1 | SKB_14 | Bos taurus (Clade T) | Albania	Bos taurus		Clade T			Albania	 https://doi.org/10.1111/eva.13315
MT576827.1	WMG19	MT576827.1 | WMG19 | Bos taurus (Clade T) | Mongolia	Bos taurus		Clade T			Mongolia	10.1038/s41437-021-00428-7
MN200846.1	CDY224	MN200846.1 | CDY224 | Bos taurus (Clade T) | China	Bos taurus		Clade T			China	
MT576842.1	YB4	MT576842.1 | YB4 | Bos taurus (Clade T) | China	Bos taurus		Clade T			China	
EU177849.1	GR316	EU177849.1 | GR316 | Bos taurus (Clade T) | Greece	Bos taurus		Clade T			Greece	https://doi.org/10.1016/j.cub.2008.01.019
EU177863.1	Bos36	EU177863.1 | Bos36 | Bos taurus (Clade T) | Italy	Bos taurus		Clade T			Italy	https://doi.org/10.1016/j.cub.2008.01.019
MZ901743.1	SKB_2	MZ901743.1 | SKB_2 | Bos taurus (Clade T) | Albania	Bos taurus		Clade T			Albania	 https://doi.org/10.1111/eva.13315
MZ901639.1	CGKO_5	MZ901639.1 | CGKO_5 | Bos taurus (Clade Q) | Greece	Bos taurus		Clade Q			Greece	https://doi.org/10.1111/eva.13315
MZ901648.1	CGSP_10	MZ901648.1 | CGSP_10 | Bos taurus (Clade Q) | Greece	Bos taurus		Clade Q			Greece	https://doi.org/10.1111/eva.13315
HQ184039.1	Chi466	HQ184039.1 | Chi466 | Bos taurus (Clade Q) | Italy	Bos taurus		Clade Q			Italy	10.1371/journal.pone.0015760
HQ184038.1	Cab1	HQ184038.1 | Cab1 | Bos taurus (Clade Q) | Italy	Bos taurus		Clade Q			Italy	10.1371/journal.pone.0015760
HQ184030.1	Chi467	HQ184030.1 | Chi467 | Bos taurus (Clade Q) | Italy	Bos taurus		Clade Q			Italy	10.1371/journal.pone.0015760
MZ901652.1	CGSR_12	MZ901652.1 | CGSR_12 | Bos taurus (Clade Q) | Greece	Bos taurus		Clade Q			Greece	https://doi.org/10.1111/eva.13315
HQ184034.1	Rom534	HQ184034.1 | Rom534 | Bos taurus (Clade Q) | Italy	Bos taurus		Clade Q			Italy	10.1371/journal.pone.0015760
GU985279.1	CPC98	GU985279.1 | CPC98 | Bos primigenius (Clade P) | Carsington Pasture Cave, England, ~6ky	Bos primigenius		Clade P		~6ky	Carsington Pasture Cave, England	10.1371/journal.pone.0009255
NC_013996.1		NC_013996.1 | Bos primigenius (Clade P)~6ky	Bos primigenius		Clade P		~6ky		
MZ901404.1	CAM_21	MZ901404.1 | CAM_21 | Bos taurus (Clade P) | Austria	Bos taurus		Clade P			Austria	https://doi.org/10.1111/eva.13315
MZ901405.1	CAM_22	MZ901405.1 | CAM_22 | Bos taurus (Clade P) | Austria	Bos taurus		Clade P			Austria	https://doi.org/10.1111/eva.13315
MF169211.1	Horn-10537	MF169211.1 | Horn-10537 | Bos primigenius (Clade P) | Denmark, ~0.5ky	Bos primigenius		Clade P		~0.5ky	Denmark	10.1016/j.jas.2018.09.001
