Name	Label	LabID	Species	Haplogroup	Description	Age	Location	Reference
KX027560	KX027560 | EID20 | Mammuthus primigenius (Clade 3) | Old Crow; CRH-94, Yukon 	EID20	Mammuthus primigenius	Clade 3	Woolly mammoth (extinct)		Old Crow; CRH-94, Yukon	
KX027508	KX027508 | SSEP75 | Mammuthus primigenius (Clade 3) | Old Crow, Yukon 	SSEP75	Mammuthus primigenius	Clade 3	Woolly mammoth (extinct)		Old Crow, Yukon	
KX027561	KX027561 | EID18 | Mammuthus primigenius (Clade 3) | Old Crow; CRH-94, Yukon 	EID18	Mammuthus primigenius	Clade 3	Woolly mammoth (extinct)		Old Crow; CRH-94, Yukon	
PV139000	PV139000 | MD228 | Mammuthus primigenius (Clade 3) | Yukon, Old Crow, Loc. 11 	MD228	Mammuthus primigenius	Clade 3	Woolly mammoth (extinct)		Yukon, Old Crow, Loc. 11	
PV138986	PV138986 | L169 | Mammuthus primigenius (Clade 3) | Yakutia, Kolyma Lowland, Krestovka R. Loc. 8 	L169	Mammuthus primigenius	Clade 3	Woolly mammoth (extinct)		Yakutia, Kolyma Lowland, Krestovka R. Loc. 8	
PV138987	PV138987 | L171 | Mammuthus primigenius (Clade 3) | Yakutia, Kolyma Lowland, Krestovka R. Loc. 8 	L171	Mammuthus primigenius	Clade 3	Woolly mammoth (extinct)		Yakutia, Kolyma Lowland, Krestovka R. Loc. 8	
PV139005	PV139005 | P043 | Mammuthus primigenius (Clade 3) | Bolshaya Chukochya River  	P043	Mammuthus primigenius	Clade 3	Woolly mammoth (extinct)		Bolshaya Chukochya River 	
PV139002	PV139002 | P033 | Mammuthus trogontherii () | Adycha river, Oskhorkokh locality 	P033	Mammuthus trogontherii				Adycha river, Oskhorkokh locality	
PV139006	PV139006 | P045 | Mammuthus trogontherii () | Adycha, loc. 222 	P045	Mammuthus trogontherii				Adycha, loc. 222	
PV139003	PV139003 | P035 | Mammuthus trogontherii () | Bol. Chukochya R., Loc. 23 	P035	Mammuthus trogontherii				Bol. Chukochya R., Loc. 23	
PV139004	PV139004 | P037 | Mammuthus trogontherii () | Krestovka river 	P037	Mammuthus trogontherii				Krestovka river	
DQ316069	DQ316069 |  | Loxodonta africana () |  		Loxodonta africana		African bush elephant			
NC000934	NC000934 | NC000934 | Loxodonta africana () |  	NC000934	Loxodonta africana		African bush elephant			
KR0014	KR0014 |  | Loxodonta africana () |  		Loxodonta africana		African bush elephant			
KR0138	KR0138 |  | Loxodonta africana () |  		Loxodonta africana		African bush elephant			
WA4020	WA4020 |  | Loxodonta africana () |  		Loxodonta africana		African bush elephant			
AB443879	AB443879 | AB443879 | Loxodonta africana () |  	AB443879	Loxodonta africana		African bush elephant			
EF588275	EF588275 | EF588275 | Elephas maximus () |  	EF588275	Elephas maximus		Asian elephant 			
NC005129	NC005129 | NC005129 | Elephas maximus () |  	NC005129	Elephas maximus		Asian elephant 			
DQ316068	DQ316068 |  | Elephas maximus () |  		Elephas maximus		Asian elephant 			
JN673263	JN673263 | JN673263 | Loxodonta cyclotis () |  	JN673263	Loxodonta cyclotis		African forest elephant			
JN673264	JN673264 | JN673264 | Loxodonta cyclotis () |  	JN673264	Loxodonta cyclotis		African forest elephant			
KJ557424	KJ557424 | KJ557424 | Loxodonta cyclotis () |  	KJ557424	Loxodonta cyclotis		African forest elephant			
KY616976	KY616976 | KY616976 | Loxodonta cyclotis () |  	KY616976	Loxodonta cyclotis		African forest elephant			
KY616978	KY616978 | KY616978 | Loxodonta cyclotis () |  	KY616978	Loxodonta cyclotis		African forest elephant			
KY616979	KY616979 | KY616979 | Loxodonta cyclotis () |  	KY616979	Loxodonta cyclotis		African forest elephant			
KJ557423	KJ557423 |  | Loxodonta cyclotis () |  		Loxodonta cyclotis		African forest elephant			
KY499555	KY499555 |  | Palaeoloxodon antiquus () |  		Palaeoloxodon antiquus		straight-tusked elephant (extinct)			10.7554/eLife.25413
KY499556	KY499556 |  | Palaeoloxodon antiquus () |  		Palaeoloxodon antiquus		straight-tusked elephant (extinct)			10.7554/eLife.25413
KY499557	KY499557 |  | Palaeoloxodon antiquus () |  		Palaeoloxodon antiquus		straight-tusked elephant (extinct)			10.7554/eLife.25413
KY499558	KY499558 |  | Palaeoloxodon antiquus () |  		Palaeoloxodon antiquus		straight-tusked elephant (extinct)			10.7554/eLife.25413
