Name	Label	LabID	Species	Haplogroup	Description	Age	Location	Reference
KX027531.1	KX027531 | SEP66 | Mammuthus primigenius (Clade 3) | Yukon, Canada ~43ky	SEP66	Mammuthus primigenius	Clade 3	Woolly mammoth (extinct)	~43ky	Yukon, Canada	
KX027561.1	KX027561 | EID18 | Mammuthus primigenius (Clade 3) | Yukon, Canada 	EID18	Mammuthus primigenius	Clade 3	Woolly mammoth (extinct)		Yukon, Canada	
PV139000.1	PV139000 | MD228 | Mammuthus primigenius (Clade 3) | Yukon, Canada 	MD228	Mammuthus primigenius	Clade 3	Woolly mammoth (extinct)		Yukon, Canada	
PV138987.1	PV138987 | L171 | Mammuthus primigenius (Clade 3) | Yakutia, Russia 	L171	Mammuthus primigenius	Clade 3	Woolly mammoth (extinct)		Yakutia, Russia	
PV139002.1	PV139002 | P033 | Mammuthus trogontherii | Adycha River, Russia 	P033	Mammuthus trogontherii				Adycha River, Russia	
PV139006.1	PV139006 | P045 | Mammuthus trogontherii | Adycha River, Russia 	P045	Mammuthus trogontherii				Adycha River, Russia	
PV139003.1	PV139003 | P035 | Mammuthus trogontherii | Bolshaya Chukochya River, Russia 	P035	Mammuthus trogontherii				Bolshaya Chukochya River, Russia	
PV139004.1	PV139004 | P037 | Mammuthus trogontherii | Krestovka River, Russia 	P037	Mammuthus trogontherii				Krestovka River, Russia	
NC000934.1	NC000934 | Loxodonta africana	NC000934	Loxodonta africana		African bush elephant			
AB443879.1	AB443879 | Loxodonta africana		Loxodonta africana		African bush elephant			
EF588275.2	EF588275 | Elephas maximus		Elephas maximus		Asian elephant 			
NC_005129.2	NC005129 | Elephas maximus		Elephas maximus		Asian elephant 			
JN673263.1	JN673263 | Loxodonta cyclotis		Loxodonta cyclotis		African forest elephant			
KJ557424.1	KJ557424 | Loxodonta cyclotis		Loxodonta cyclotis		African forest elephant			
KY616979.1	KY616979 | Loxodonta cyclotis		Loxodonta cyclotis		African forest elephant			
KY499555.1	KY499555 | Palaeoloxodon antiquus		Palaeoloxodon antiquus		straight-tusked elephant (extinct)			10.7554/eLife.25413
KY499556.1	KY499556 | Palaeoloxodon antiquus		Palaeoloxodon antiquus		straight-tusked elephant (extinct)			10.7554/eLife.25413
KY499557.1	KY499557 | Palaeoloxodon antiquus		Palaeoloxodon antiquus		straight-tusked elephant (extinct)			10.7554/eLife.25413
KY499558.1	KY499558 | Palaeoloxodon antiquus		Palaeoloxodon antiquus		straight-tusked elephant (extinct)			10.7554/eLife.25413
