Name	Label	LabID	Species	Haplogroup	Description	Age	Location	Reference
ND035		SAMEA6246871	Coelodonta antiquitatis	B	Woolly rhinoceros	~15ky	Chukotka	https://www.cell.com/current-biology/fulltext/S0960-9822(20)31071-X#mmc2
DS253		SAMEA6246875	Coelodonta antiquitatis	B	Woolly rhinoceros	~12ky	Yakutia	https://www.cell.com/current-biology/fulltext/S0960-9822(20)31071-X#mmc2
FJ905813.1		LDR-P75	Coelodonta antiquitatis	B	Woolly rhinoceros		Yakutia, Russia	
OP803072.1		CADG739	Coelodonta antiquitatis	C	Woolly rhinoceros	~44ky	Northern China	
OP803074.1		CADG900	Coelodonta antiquitatis	C	Woolly rhinoceros	~51ky	Northern China	
OP803075.1		CADG912	Coelodonta antiquitatis	C	Woolly rhinoceros	~59ky	Northern China	
ND030		SAMEA6246869	Coelodonta antiquitatis	C	Woolly rhinoceros	~38ky	Wrangel Island	https://www.cell.com/current-biology/fulltext/S0960-9822(20)31071-X#mmc2
OP803073.1		CADG744	Coelodonta antiquitatis	D	Woolly rhinoceros	~63ky	Northern China	
OQ889160.1		ZPL-Uwr-GI-80	Stephanorhinus kirchbergensis		Merck's rhinoceros		Gorzów Wielkopolski, Poland	
OQ730110.1		SLC073_F-887	Stephanorhinus kirchbergensis		Merck's rhinoceros		Russia	
KX646743		JK254	Stephanorhinus kirchbergensis		Merck's rhinoceros	~60ky	Chondon River, Russia	
CM038193.1		KB9947	Ceratotherium cottoni		Northern white rhinoceros			https://doi.org/10.1073/pnas.2401207122
NC_001808.1			Ceratotherium simum		White rhinoceros			10.1006/mpev.1996.0385 
FJ905814.1		NHM-36	Diceros bicornis	brucii	Black rhinoceros	~100y	Ethopia	
MK909143.1		NZG:46373	Diceros bicornis	minor	Black rhinoceros		Zuzuland	
MH937516.1		IPAE 897/200	Elasmotherium sibiricum		Siberian unicorn		Borovlyanka	https://doi.org/10.1038/s41559-018-0722-0
MH937515.1		IPAE 1871/200	Elasmotherium sibiricum		Siberian unicorn	~35ky	Voronovka	https://doi.org/10.1038/s41559-018-0722-0
MH937513.1		IPAE 915/2804	Elasmotherium sibiricum		Siberian unicorn	>49ky	Tobolsk	https://doi.org/10.1038/s41559-018-0722-0
